Item ID,Item Name,Group,State,Created At,Updated At,Subitems,Program Dates,Student Number,Total number of participants,Delivery Mode,Logistics/Buddy,APM Travel,Program Designer,Review Date,Mastersheet,Mastersheet Link,Pre-Dept Status,Pre-Dept Guide Due Date,Company / Org Visits,# Visits Required,# Visits Done,# Visits Remaining,Hotels,Visits/Projects,Meeting Rooms,Guides,Transport,Flights,Trains,Meals,Immersions,APM Bookings,Student Testimonials,WOW Element,Post Program Checklist,Invoice 1 Due Date,Invoice 1,Invoice 2 Due Date,Invoice 2,Post Program
18178760898,2026-03 Kelley GLOBASE Thailand,Programs in Planning and Delivery Phase,active,2025-10-14T09:47:40Z,2026-03-17T09:20:19Z,,2026-03-08 - 2026-03-15,24,26,APM,Bhavana Saroj,Siddhanth Waghmare,Siddhanth Waghmare,2026-03-17,Created,Kelly Thailand - https://sheet.zoho.com/sheet/open/g6513895e0d4277ed45ae9db7bdf9577308ef?sheetid=0&range=A1,Done,,Not Required,0,0,,Done,NA,NA,Done,Done,NA,NA,Done,Done,Done,Not Allowed,NA,,,Money Received,,Money Received,NA
18178761946,2026-03 UNC Healthcare GIE Turkey,Programs in Planning and Delivery Phase,active,2025-10-14T09:47:53Z,2026-03-16T10:04:23Z,,2026-03-01 - 2026-03-11,27,29,APM,Vedanth Maheshwari,Vedanth Maheshwari,Vedanth Maheshwari,,Done,,,,Done,,,,Done,NA,NA,Done,Done,Done,Done,Done,Done,"Bus / Train, Flights, Hotel, Visa",Not Allowed,NA,,,Money Received,,Money Received,NA
18198935370,2026-05 UNC Real Estate GIE Korea Vietnam,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:11Z,2026-03-17T09:48:31Z,,2026-05-02 - 2026-05-16,27,29,APM,Vedanth Maheshwari,Ravi Raj,Divyanjali,2025-10-30,Created,https://docs.google.com/spreadsheets/d/1B0Gch8epkoS-fSIXgalk4jdU0oIpNYHVJi3To6BnRAs/edit?gid=0#gid=0,,,Design Team will work on it,3,0,,Advance Paid,NA,NA,Stuck,Blocked,Stuck,Stuck,Stuck,Stuck,,Not Allowed,NA,,,Money Received,,Yet to send,NA
18198935443,2026-05 Pitt South Korea,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:12Z,2026-03-17T09:57:30Z,,2026-05-03 - 2026-05-15,24,26,APM,Aakash Korandla,Aakash Korandla,Divyanjali,2026-03-04,Created,https://docs.google.com/spreadsheets/d/1Hr3YXONbci0_1lmygE6Nkdmy8FUfEYB9m8aarXalLkM/edit?gid=891933921#gid=891933921,Working on it,,Design Team will work on it,2,,,Rooms Blocked,NA,NA,Done,Blocked,NA,Stuck,Stuck,Blocked,,Not Allowed,NA,,,Overdue,,NA,NA
18198935936,2026-05 PSU Switzerland,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:15Z,2026-03-19T11:08:24Z,,2026-05-10 - 2026-05-18,,,Remote,lorenzo@authentica.com,lorenzo@authentica.com,lorenzo@authentica.com,2026-03-17,Yet to be done,,,,Not Required,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA
18198936136,2026-05 UNC GIE Japan (Undergrad),Programs in Planning and Delivery Phase,active,2025-10-16T10:13:21Z,2026-03-17T10:12:37Z,,2026-05-12 - 2026-05-23,27,30,APM,Siddhanth Waghmare,Siddhanth Waghmare,Komal Mishra,2026-03-17,Yet to be done,,Working on it,,Design Team will work on it,10,,,Rooms Blocked,NA,NA,Advance Paid,Advance Paid,NA,Paid,Advance Paid,Advance Paid,,Not Allowed,NA,,,Yet to send,,NA,NA
18198936223,2026-05 USD SOLES Global Health South Korea,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:23Z,2026-03-19T11:49:38Z,,2026-05-15 - 2026-05-23,16,18,Remote,Aakash Korandla,Aakash Korandla,Divyanjali,,Yet to be done,,,,Design Team will work on it,0,0,,Advance Paid,NA,NA,Blocked,Blocked,NA,NA,Booked,Blocked,,Not Allowed,NA,,,Money Received,,Invoice sent,NA
18198936466,2026-05 UF Japan,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:28Z,2026-03-19T11:02:55Z,,2026-05-16 - 2026-05-29,,,Remote,Bhavana Saroj,Bhavana Saroj,Komal Mishra,2026-03-16,Created,UF Japan - https://%3Ciframe%20src=%22https://workdrive.zohopublic.com/embed/m26bq67d0334e4d71410a8cd73e423432f2cf?toolbar=false&appearance=light&themecolor=green%22%20scrolling=%22no%22%20frameborder=%220%22%20allowfullscreen=true%20width=%22800%22%20height=%22520%22%20title=%22Embed%20code%22%20%3E%3C/iframe%3E,,,Design Team will work on it,,,,Stuck,NA,NA,Stuck,Stuck,NA,Stuck,Stuck,Stuck,,Not Allowed,NA,,,Yet to send,,NA,NA
18198936534,2026-05 USC Italy Pharmacy,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:30Z,2026-03-19T11:08:45Z,,2026-05-17 - 2026-05-30,16,17,APM,lorenzo@authentica.com,lorenzo@authentica.com,lorenzo@authentica.com,,Yet to be done,,,,Design Team will work on it,,,,Rooms Blocked,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA
18198936616,2026-05 USC Italy PharmD,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:33Z,2026-03-19T11:08:54Z,,2026-05-17 - 2026-05-30,3,4,APM,lorenzo@authentica.com,lorenzo@authentica.com,lorenzo@authentica.com,,Yet to be done,,,,Design Team will work on it,,,,Rooms Blocked,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA
